bucket	score	src_line	src_heading	src_text	best_tgt_line	best_tgt_text
unique	0.42	73	DuckDB.jl 1.5.2 — phase 1 verification findings > 1. Appender + BLOB — the spike/study discrepancy	Invalid unicode (byte sequence mismatch) detected in value construction	1125	Measured consequences: result sets use the declared column spelling regardless of
unique	0.43	74	DuckDB.jl 1.5.2 — phase 1 verification findings > 1. Appender + BLOB — the spike/study discrepancy	immediately after append, then	89	later, at GC time
unique	0.40	75	DuckDB.jl 1.5.2 — phase 1 verification findings > 1. Appender + BLOB — the spike/study discrepancy	Call to EndRow before all columns have been appended to! after endrow —	1199	thousands. Per-cell counts are in results.md.
overlap	0.53	76	DuckDB.jl 1.5.2 — phase 1 verification findings > 1. Appender + BLOB — the spike/study discrepancy	the failed append never advanced the column counter. appender.jl:77-129	851	The serious part: a failed append does not advance the appender's internal column
overlap	0.65	77	DuckDB.jl 1.5.2 — phase 1 verification findings > 1. Appender + BLOB — the spike/study discrepancy	discards every duckdbstate return, so none of this reaches Julia.	847	appender.jl:77-129 discards every duckdbstate return code; no method checks for
overlap	0.51	79	DuckDB.jl 1.5.2 — phase 1 verification findings > 1. Appender + BLOB — the spike/study discrepancy	Detection recipe for generated writers. duckdbappendererror returns only	848	DuckDBError or calls duckdbappendererror after creation. A cast failure or
unique	0.41	80	DuckDB.jl 1.5.2 — phase 1 verification findings > 1. Appender + BLOB — the spike/study discrepancy	the latest error, so a later failure overwrites an earlier one — checking once	141	DuckDB.jl 1.5.2 is the latest registered release, verified against the General
overlap	0.64	81	DuckDB.jl 1.5.2 — phase 1 verification findings > 1. Appender + BLOB — the spike/study discrepancy	at the end misattributes the cause. Call it after each step:	864	end misattributes the cause:
unique	0.48	90	DuckDB.jl 1.5.2 — phase 1 verification findings > 1. Appender + BLOB — the spike/study discrepancy	Incidental defect spotted while reading the source (not measured):	515	Two rows differ from what the source notes recorded, both measured here: ENUM via
overlap	0.52	91	DuckDB.jl 1.5.2 — phase 1 verification findings > 1. Appender + BLOB — the spike/study discrepancy	appender.jl:46 calls duckdbappendererror(handle) with the	700	(appender.jl:121-124) → flush (appender.jl:126-129) → close
overlap	0.59	92	DuckDB.jl 1.5.2 — phase 1 verification findings > 1. Appender + BLOB — the spike/study discrepancy	Ref{duckdbappender} box instead of handle[], and then renders the resulting	924	instead of handle[] and renders the result with string(errorptr), so a failed
overlap	0.50	93	DuckDB.jl 1.5.2 — phase 1 verification findings > 1. Appender + BLOB — the spike/study discrepancy	Cstring with string(errorptr) — so a failed appender creation would report	924	instead of handle[] and renders the result with string(errorptr), so a failed
unique	0.44	94	DuckDB.jl 1.5.2 — phase 1 verification findings > 1. Appender + BLOB — the spike/study discrepancy	a pointer, not the message. Reachable only on duckdbappendercreate failure.	848	DuckDBError or calls duckdbappendererror after creation. A cast failure or
short	0.00	96	DuckDB.jl 1.5.2 — phase 1 verification findings > 1. Appender + BLOB — the spike/study discrepancy	---		
overlap	0.64	100	DuckDB.jl 1.5.2 — phase 1 verification findings > 2. Appender + ENUM, and the stringify-cast family	Script: verifyenumappender.jl	830	(verifyblobappender.jl).
unique	0.39	102	DuckDB.jl 1.5.2 — phase 1 verification findings > 2. Appender + ENUM, and the stringify-cast family	Question. Study §3a / gotcha 12 marked "appender writes ENUM by appending a	1305	Three cells did improve — rich appender writes and rich/1M reads — all by ≤7%, which
unique	0.46	103	DuckDB.jl 1.5.2 — phase 1 verification findings > 2. Appender + ENUM, and the stringify-cast family	string" as Inferred, extrapolated from the UUID stringify path	75	claim was never tested against the registered-scan path.
unique	0.43	104	DuckDB.jl 1.5.2 — phase 1 verification findings > 2. Appender + ENUM, and the stringify-cast family	(appender.jl:93). Measure it — and, given §1 above showed the VARCHAR→BLOB cast	855	enum value (verifyenumappender.jl). In a single-column table the same mechanism
unique	0.42	105	DuckDB.jl 1.5.2 — phase 1 verification findings > 2. Appender + ENUM, and the stringify-cast family	succeeds only for a narrow input slice, measure the sibling paths too.	581	> it stores one plain array per field and synthesizes the struct on access, so
overlap	0.54	107	DuckDB.jl 1.5.2 — phase 1 verification findings > 2. Appender + ENUM, and the stringify-cast family	VERDICT: confirmed — the C appender does cast VARCHAR→ENUM. The inference	732	ENUM columns take the label as a String; the C appender casts VARCHAR→ENUM. Invalid
unique	0.46	108	DuckDB.jl 1.5.2 — phase 1 verification findings > 2. Appender + ENUM, and the stringify-cast family	was correct, but the failure mode it hides is serious.	39	- Appendix A — corrections to the source notes
short	0.00	110	DuckDB.jl 1.5.2 — phase 1 verification findings > 2. Appender + ENUM, and the stringify-cast family	Case | Result		
unique	0.39	112	DuckDB.jl 1.5.2 — phase 1 verification findings > 2. Appender + ENUM, and the stringify-cast family	valid label "happy" into mood | 1 row, reads back "happy"::String	1294	Cell | 1 thread | 64 threads | Change
unique	0.43	113	DuckDB.jl 1.5.2 — phase 1 verification findings > 2. Appender + ENUM, and the stringify-cast family	missing into mood | 1 row, reads back missing (appender.jl:91)	718	Missing / Nothing | duckdbappendnull | appender.jl:91 | ok
overlap	0.62	114	DuckDB.jl 1.5.2 — phase 1 verification findings > 2. Appender + ENUM, and the stringify-cast family	UUID control (appender.jl:93) | exact round-trip	720	Base.UUID | stringified, then varchar append | appender.jl:93 | ok — exact round-trip
overlap	0.55	115	DuckDB.jl 1.5.2 — phase 1 verification findings > 2. Appender + ENUM, and the stringify-cast family	FixedDecimal{Int64,4} control (appender.jl:95) | exact round-trip	720	Base.UUID | stringified, then varchar append | appender.jl:93 | ok — exact round-trip
unique	0.41	116	DuckDB.jl 1.5.2 — phase 1 verification findings > 2. Appender + ENUM, and the stringify-cast family	invalid label "banana" | silent data loss — 0 rows, no Julia exception	99	generated literal SQL silently loses 1 ULP on DOUBLE — and ::DOUBLE does not
unique	0.50	117	DuckDB.jl 1.5.2 — phase 1 verification findings > 2. Appender + ENUM, and the stringify-cast family	wrong-case label "Happy" | silent data loss — enum labels are case-sensitive	733	and wrong-case labels are silently lost (verifyenumappender.jl) — see §5.1.2,
unique	0.42	118	DuckDB.jl 1.5.2 — phase 1 verification findings > 2. Appender + ENUM, and the stringify-cast family	FixedDecimal{Int64,4}(12.3456) → DECIMAL(18,2) | silently rounded to 12.35, no warning	1396	11 | an over-precision FixedDecimal | round to the column's scale first | silently rounded (§4.5)
unique	0.47	120	DuckDB.jl 1.5.2 — phase 1 verification findings > 2. Appender + ENUM, and the stringify-cast family	The C error slot after a rejected label reads	1360	Take the first tier whose precondition holds.
unique	0.37	121	DuckDB.jl 1.5.2 — phase 1 verification findings > 2. Appender + ENUM, and the stringify-cast family	Failed to cast value: Could not convert string 'banana' to UINT8, which also	65	Writing is the weak side, and no single path covers the type matrix. Five paths
unique	0.44	122	DuckDB.jl 1.5.2 — phase 1 verification findings > 2. Appender + ENUM, and the stringify-cast family	reveals the physical representation (this ENUM is a UINT8 dictionary index).	1227	run skipped as "not applicable — profile has no struct column", which is a harness
overlap	0.59	123	DuckDB.jl 1.5.2 — phase 1 verification findings > 2. Appender + ENUM, and the stringify-cast family	None of it reaches Julia — appender.jl:77-129 discards every return code.	847	appender.jl:77-129 discards every duckdbstate return code; no method checks for
unique	0.45	127	DuckDB.jl 1.5.2 — phase 1 verification findings > 2. Appender + ENUM, and the stringify-cast family > 2b. A failed cell MISALIGNS subsequent data (not just drops a row)	This is the most important result in phase 1. A failed append does not	851	The serious part: a failed append does not advance the appender's internal column
unique	0.48	128	DuckDB.jl 1.5.2 — phase 1 verification findings > 2. Appender + ENUM, and the stringify-cast family > 2b. A failed cell MISALIGNS subsequent data (not just drops a row)	advance the appender's internal column cursor, so the next value is written into	1308	The pattern: the appender is indifferent to thread count (a scalar loop issuing C
overlap	0.71	129	DuckDB.jl 1.5.2 — phase 1 verification findings > 2. Appender + ENUM, and the stringify-cast family > 2b. A failed cell MISALIGNS subsequent data (not just drops a row)	the slot the failed one should have filled.	852	cursor, so the next value lands in the slot the failed one should have filled.
duplicated	0.86	131	DuckDB.jl 1.5.2 — phase 1 verification findings > 2. Appender + ENUM, and the stringify-cast family > 2b. A failed cell MISALIGNS subsequent data (not just drops a row)	Appending [(1,"sad"), (2,"banana"), (3,"ok"), (4,"happy")] into	853	Appending [(1,"sad"), (2,"banana"), (3,"ok"), (4,"happy")] into (id INTEGER, m mood)
unique	0.44	132	DuckDB.jl 1.5.2 — phase 1 verification findings > 2. Appender + ENUM, and the stringify-cast family > 2b. A failed cell MISALIGNS subsequent data (not just drops a row)	(id INTEGER, m mood) produced:	1323	- Reads: 22 of 24 reproduced.
unique	0.44	138	DuckDB.jl 1.5.2 — phase 1 verification findings > 2. Appender + ENUM, and the stringify-cast family > 2b. A failed cell MISALIGNS subsequent data (not just drops a row)	Row id=2 survived carrying row 3's enum value. The integer 3 was then	854	yields [(1,"sad"), (2,"ok"), (4,"happy")] — row id=2 survives carrying row 3's
unique	0.43	139	DuckDB.jl 1.5.2 — phase 1 verification findings > 2. Appender + ENUM, and the stringify-cast family > 2b. A failed cell MISALIGNS subsequent data (not just drops a row)	offered to the ENUM column, producing	1494	reference.md | this document
unique	0.36	140	DuckDB.jl 1.5.2 — phase 1 verification findings > 2. Appender + ENUM, and the stringify-cast family > 2b. A failed cell MISALIGNS subsequent data (not just drops a row)	Failed to cast value: Unimplemented type for cast (INTEGER -> ENUM(...)).	372	NotImplementedException("Unsupported type for duckdbtypetojuliatype: …")
overlap	0.55	141	DuckDB.jl 1.5.2 — phase 1 verification findings > 2. Appender + ENUM, and the stringify-cast family > 2b. A failed cell MISALIGNS subsequent data (not just drops a row)	In a single-column table the same mechanism merely looks like "the bad row was	855	enum value (verifyenumappender.jl). In a single-column table the same mechanism
unique	0.42	142	DuckDB.jl 1.5.2 — phase 1 verification findings > 2. Appender + ENUM, and the stringify-cast family > 2b. A failed cell MISALIGNS subsequent data (not just drops a row)	dropped" (measured separately: ["sad","ok","banana","happy"] →	853	Appending [(1,"sad"), (2,"banana"), (3,"ok"), (4,"happy")] into (id INTEGER, m mood)
overlap	0.64	143	DuckDB.jl 1.5.2 — phase 1 verification findings > 2. Appender + ENUM, and the stringify-cast family > 2b. A failed cell MISALIGNS subsequent data (not just drops a row)	["sad","ok","happy"]), which is why this needed a multi-column probe.	856	merely looks like "the bad row was dropped", which is why this needed a multi-column
unique	0.36	145	DuckDB.jl 1.5.2 — phase 1 verification findings > 2. Appender + ENUM, and the stringify-cast family > 2b. A failed cell MISALIGNS subsequent data (not just drops a row)	Consequence for codegen. The study's gotcha-2 mitigation — a follow-up	46	know what codegen must never emit | §8.2
duplicated	0.85	146	DuckDB.jl 1.5.2 — phase 1 verification findings > 2. Appender + ENUM, and the stringify-cast family > 2b. A failed cell MISALIGNS subsequent data (not just drops a row)	COUNT() — is necessary but not sufficient: it detects that something went	859	A follow-up COUNT() is necessary but not sufficient. It detects that something
duplicated	0.93	147	DuckDB.jl 1.5.2 — phase 1 verification findings > 2. Appender + ENUM, and the stringify-cast family > 2b. A failed cell MISALIGNS subsequent data (not just drops a row)	wrong, but surviving rows may already pair the wrong values together, and a	860	went wrong, but surviving rows may already pair the wrong values together, and a count
overlap	0.79	148	DuckDB.jl 1.5.2 — phase 1 verification findings > 2. Appender + ENUM, and the stringify-cast family > 2b. A failed cell MISALIGNS subsequent data (not just drops a row)	count could in principle re-align if the number of failures is a multiple of the	861	could re-align if the number of failures is a multiple of the column count.
unique	0.48	149	DuckDB.jl 1.5.2 — phase 1 verification findings > 2. Appender + ENUM, and the stringify-cast family > 2b. A failed cell MISALIGNS subsequent data (not just drops a row)	column count. A generated appender-based writer must either	974	error checking in generated code can recover from it.
overlap	0.57	151	DuckDB.jl 1.5.2 — phase 1 verification findings > 2. Appender + ENUM, and the stringify-cast family > 2b. A failed cell MISALIGNS subsequent data (not just drops a row)	1. poll duckdbappendererror after each append/endrow/flush (recipe in	848	DuckDBError or calls duckdbappendererror after creation. A cast failure or
short	0.00	152	DuckDB.jl 1.5.2 — phase 1 verification findings > 2. Appender + ENUM, and the stringify-cast family > 2b. A failed cell MISALIGNS subsequent data (not just drops a row)	§1 above), or		
unique	0.44	153	DuckDB.jl 1.5.2 — phase 1 verification findings > 2. Appender + ENUM, and the stringify-cast family > 2b. A failed cell MISALIGNS subsequent data (not just drops a row)	2. validate values against the dictionary's types before they reach the	837	fix belongs in the generator's type map. Inferred: other Ref{Cvoid} arguments in
short	0.00	154	DuckDB.jl 1.5.2 — phase 1 verification findings > 2. Appender + ENUM, and the stringify-cast family > 2b. A failed cell MISALIGNS subsequent data (not just drops a row)	appender,		
unique	0.46	156	DuckDB.jl 1.5.2 — phase 1 verification findings > 2. Appender + ENUM, and the stringify-cast family > 2b. A failed cell MISALIGNS subsequent data (not just drops a row)	and should still verify the row count afterwards.	987	threshold, so it is underpowered, not a refutation.
short	0.00	158	DuckDB.jl 1.5.2 — phase 1 verification findings > 2. Appender + ENUM, and the stringify-cast family > 2b. A failed cell MISALIGNS subsequent data (not just drops a row)	---		
duplicated	0.84	162	DuckDB.jl 1.5.2 — phase 1 verification findings > 3. Appender flush vs. the connection's transaction	Script: verifyappendertransaction.jl	930	(verifyappendertransaction.jl):
overlap	0.53	164	DuckDB.jl 1.5.2 — phase 1 verification findings > 3. Appender flush vs. the connection's transaction	Question. Study §5 recorded "appender flush participates in the connection's	929	Flushed rows do participate in the connection's transaction
unique	0.44	165	DuckDB.jl 1.5.2 — phase 1 verification findings > 3. Appender flush vs. the connection's transaction	active transaction" as Inferred ("standard DuckDB appender behavior"). The	378	handle to inspect. Inferred: ARRAY support exists on DuckDB.jl main
overlap	0.50	166	DuckDB.jl 1.5.2 — phase 1 verification findings > 3. Appender flush vs. the connection's transaction	generated bulk-replace pattern (BEGIN; DELETE FROM t; <append>; COMMIT) is only	1185	Bulk-replace, measured atomic when done correctly: BEGIN; DELETE FROM t;
short	0.00	167	DuckDB.jl 1.5.2 — phase 1 verification findings > 3. Appender flush vs. the connection's transaction	atomic if that holds.		
unique	0.43	169	DuckDB.jl 1.5.2 — phase 1 verification findings > 3. Appender flush vs. the connection's transaction	VERDICT: confirmed for flushed rows — but buffered rows escape the	88	3. Appender rows buffered at rollback time escape the transaction and can land
unique	0.48	170	DuckDB.jl 1.5.2 — phase 1 verification findings > 3. Appender flush vs. the connection's transaction	transaction entirely, and can leak after a rollback at GC time.	956	§4.5, measured to leave 0 rows after rollback even
duplicated	1.00	172	DuckDB.jl 1.5.2 — phase 1 verification findings > 3. Appender flush vs. the connection's transaction	Scenario | Rows | Reading	932	Scenario | Rows | Reading
duplicated	1.00	174	DuckDB.jl 1.5.2 — phase 1 verification findings > 3. Appender flush vs. the connection's transaction	append + flush inside txn, COMMIT | 5 | rows survive commit	934	append + flush inside txn, COMMIT | 5 | rows survive commit
duplicated	1.00	175	DuckDB.jl 1.5.2 — phase 1 verification findings > 3. Appender flush vs. the connection's transaction	append + flush inside txn, ROLLBACK | 0 | flushed rows ARE in the transaction	935	append + flush inside txn, ROLLBACK | 0 | flushed rows ARE in the transaction
duplicated	0.93	176	DuckDB.jl 1.5.2 — phase 1 verification findings > 3. Appender flush vs. the connection's transaction	append (no flush), COMMIT, then close() | 0 → 5 after close | unflushed rows land after commit, outside the txn	936	append (no flush), COMMIT, then close() | 0 → 5 after close | land after commit, outside the txn
duplicated	1.00	177	DuckDB.jl 1.5.2 — phase 1 verification findings > 3. Appender flush vs. the connection's transaction	append (no flush), ROLLBACK, then close() | 0 → 5 after close | 5 rows survived a rollback	937	append (no flush), ROLLBACK, then close() | 0 → 5 after close | 5 rows survived a rollback
duplicated	0.93	178	DuckDB.jl 1.5.2 — phase 1 verification findings > 3. Appender flush vs. the connection's transaction	bulk-replace BEGIN; DELETE; append+flush; error | original 5 intact | atomic when done correctly	938	BEGIN; DELETE; append+flush; error | original 5 intact | atomic when done correctly
duplicated	1.00	179	DuckDB.jl 1.5.2 — phase 1 verification findings > 3. Appender flush vs. the connection's transaction	second Connection reading during an open txn | 0, then 5 after commit | properly isolated, no dirty reads	939	second Connection reading during an open txn | 0, then 5 after commit | properly isolated, no dirty reads
duplicated	0.96	183	DuckDB.jl 1.5.2 — phase 1 verification findings > 3. Appender flush vs. the connection's transaction > 3b. The leak, and the mitigation (both measured)	There is no discard path: api.jl:6820 documents duckdbappenderdestroy	941	There is no discard path. api.jl:6820 documents duckdbappenderdestroy as
duplicated	0.91	184	DuckDB.jl 1.5.2 — phase 1 verification findings > 3. Appender flush vs. the connection's transaction > 3b. The leak, and the mitigation (both measured)	as "Closes the appender by flushing all intermediate states to the table and	942	"Closes the appender by flushing all intermediate states to the table and destroying
overlap	0.80	185	DuckDB.jl 1.5.2 — phase 1 verification findings > 3. Appender flush vs. the connection's transaction > 3b. The leak, and the mitigation (both measured)	destroying it." Buffered rows cannot be thrown away — the only lever is when	943	it." Buffered rows cannot be thrown away; the only lever is when the flush happens
